id,name,price,type
1,item1,100000,1
2,item2,110000,2
3,item3,120000,3
4,item4,130000,1
5,item5,140000,2
6,item6,150000,3
7,item7,160000,1
8,item8,170000,2
9,item9,180000,3
10,item10,190000,1
11,item11,200000,2
12,item12,210000,3
13,item13,220000,1
14,item14,230000,2
15,item15,240000,3
16,item16,250000,1
17,item17,260000,2
18,item18,270000,3
19,item19,280000,1
20,item20,290000,2
21,item21,300000,3
22,item22,310000,1
23,item23,320000,2
24,item24,330000,3
25,item25,340000,1
26,item26,350000,2
27,item27,360000,3
28,item28,370000,1
29,item29,380000,2
30,item30,390000,3
31,item31,400000,1
32,item32,410000,2
33,item33,420000,3
34,item34,430000,1
35,item35,440000,2
36,item36,450000,3
37,item37,460000,1
38,item38,470000,2
39,item39,480000,3
40,item40,490000,1
41,item41,500000,2
42,item42,510000,3
43,item43,520000,1
44,item44,530000,2
45,item45,540000,3
46,item46,550000,1
47,item47,560000,2
48,item48,570000,3
49,item49,580000,1
50,item50,590000,2
51,item51,600000,3
52,item52,610000,1
53,item53,620000,2
54,item54,630000,3
55,item55,640000,1
56,item56,650000,2
57,item57,660000,3
58,item58,670000,1
59,item59,680000,2
60,item60,690000,3
61,item61,700000,1
62,item62,710000,2
63,item63,720000,3
64,item64,730000,1
65,item65,740000,2
66,item66,750000,3
67,item67,760000,1
68,item68,770000,2
69,item69,780000,3
70,item70,790000,1
71,item71,800000,2
72,item72,810000,3
73,item73,820000,1
74,item74,830000,2
75,item75,840000,3
76,item76,850000,1
77,item77,860000,2
78,item78,870000,3
79,item79,880000,1
80,item80,890000,2
81,item81,900000,3
82,item82,910000,1
83,item83,920000,2
84,item84,930000,3
85,item85,940000,1
86,item86,950000,2
87,item87,960000,3
88,item88,970000,1
89,item89,980000,2
90,item90,990000,3
91,item91,1000000,1
92,item92,1010000,2
93,item93,1020000,3
94,item94,1030000,1
95,item95,1040000,2
96,item96,1050000,3
97,item97,1060000,1
98,item98,1070000,2
99,item99,1080000,3
100,item100,1090000,1
